pair_id,query_id,candidate_id,query_path,candidate_path
pair_0013,gtzan_blues_blues_00008,gtzan_country_country_00058,data\raw\gtzan\blues\blues.00008.wav,data\raw\gtzan\country\country.00058.wav
pair_0014,gtzan_reggae_reggae_00018,gtzan_reggae_reggae_00024,data\raw\gtzan\reggae\reggae.00018.wav,data\raw\gtzan\reggae\reggae.00024.wav
pair_0015,gtzan_metal_metal_00070,gtzan_rock_rock_00082,data\raw\gtzan\metal\metal.00070.wav,data\raw\gtzan\rock\rock.00082.wav
pair_0016,gtzan_blues_blues_00008,gtzan_rock_rock_00072,data\raw\gtzan\blues\blues.00008.wav,data\raw\gtzan\rock\rock.00072.wav
pair_0017,gtzan_rock_rock_00032,gtzan_rock_rock_00042,data\raw\gtzan\rock\rock.00032.wav,data\raw\gtzan\rock\rock.00042.wav
pair_0018,gtzan_reggae_reggae_00018,gtzan_reggae_reggae_00029,data\raw\gtzan\reggae\reggae.00018.wav,data\raw\gtzan\reggae\reggae.00029.wav
pair_0019,gtzan_disco_disco_00027,gtzan_country_country_00062,data\raw\gtzan\disco\disco.00027.wav,data\raw\gtzan\country\country.00062.wav
pair_0020,gtzan_reggae_reggae_00018,gtzan_blues_blues_00056,data\raw\gtzan\reggae\reggae.00018.wav,data\raw\gtzan\blues\blues.00056.wav
pair_0021,gtzan_rock_rock_00032,gtzan_pop_pop_00069,data\raw\gtzan\rock\rock.00032.wav,data\raw\gtzan\pop\pop.00069.wav
pair_0022,gtzan_rock_rock_00032,gtzan_jazz_jazz_00091,data\raw\gtzan\rock\rock.00032.wav,data\raw\gtzan\jazz\jazz.00091.wav
pair_0023,gtzan_pop_pop_00071,gtzan_rock_rock_00049,data\raw\gtzan\pop\pop.00071.wav,data\raw\gtzan\rock\rock.00049.wav
pair_0024,gtzan_hiphop_hiphop_00037,gtzan_rock_rock_00054,data\raw\gtzan\hiphop\hiphop.00037.wav,data\raw\gtzan\rock\rock.00054.wav
pair_0025,gtzan_country_country_00060,gtzan_reggae_reggae_00046,data\raw\gtzan\country\country.00060.wav,data\raw\gtzan\reggae\reggae.00046.wav
pair_0026,gtzan_country_country_00060,gtzan_country_country_00063,data\raw\gtzan\country\country.00060.wav,data\raw\gtzan\country\country.00063.wav
pair_0027,gtzan_pop_pop_00071,gtzan_pop_pop_00023,data\raw\gtzan\pop\pop.00071.wav,data\raw\gtzan\pop\pop.00023.wav
pair_0028,gtzan_disco_disco_00027,gtzan_hiphop_hiphop_00053,data\raw\gtzan\disco\disco.00027.wav,data\raw\gtzan\hiphop\hiphop.00053.wav
pair_0029,gtzan_hiphop_hiphop_00037,gtzan_pop_pop_00064,data\raw\gtzan\hiphop\hiphop.00037.wav,data\raw\gtzan\pop\pop.00064.wav
pair_0030,gtzan_country_country_00060,gtzan_country_country_00024,data\raw\gtzan\country\country.00060.wav,data\raw\gtzan\country\country.00024.wav
pair_0031,gtzan_disco_disco_00027,gtzan_hiphop_hiphop_00020,data\raw\gtzan\disco\disco.00027.wav,data\raw\gtzan\hiphop\hiphop.00020.wav
pair_0032,gtzan_country_country_00060,gtzan_blues_blues_00001,data\raw\gtzan\country\country.00060.wav,data\raw\gtzan\blues\blues.00001.wav
pair_0033,gtzan_metal_metal_00070,gtzan_metal_metal_00019,data\raw\gtzan\metal\metal.00070.wav,data\raw\gtzan\metal\metal.00019.wav
pair_0034,gtzan_pop_pop_00071,gtzan_pop_pop_00067,data\raw\gtzan\pop\pop.00071.wav,data\raw\gtzan\pop\pop.00067.wav
pair_0035,gtzan_hiphop_hiphop_00037,gtzan_disco_disco_00088,data\raw\gtzan\hiphop\hiphop.00037.wav,data\raw\gtzan\disco\disco.00088.wav
pair_0036,gtzan_pop_pop_00071,gtzan_pop_pop_00077,data\raw\gtzan\pop\pop.00071.wav,data\raw\gtzan\pop\pop.00077.wav
pair_0037,gtzan_blues_blues_00008,gtzan_metal_metal_00052,data\raw\gtzan\blues\blues.00008.wav,data\raw\gtzan\metal\metal.00052.wav
pair_0038,gtzan_classical_classical_00044,gtzan_classical_classical_00088,data\raw\gtzan\classical\classical.00044.wav,data\raw\gtzan\classical\classical.00088.wav
pair_0039,gtzan_rock_rock_00032,gtzan_metal_metal_00099,data\raw\gtzan\rock\rock.00032.wav,data\raw\gtzan\metal\metal.00099.wav
pair_0040,gtzan_country_country_00060,gtzan_rock_rock_00062,data\raw\gtzan\country\country.00060.wav,data\raw\gtzan\rock\rock.00062.wav
pair_0041,gtzan_metal_metal_00070,gtzan_blues_blues_00004,data\raw\gtzan\metal\metal.00070.wav,data\raw\gtzan\blues\blues.00004.wav
pair_0042,gtzan_blues_blues_00008,gtzan_jazz_jazz_00004,data\raw\gtzan\blues\blues.00008.wav,data\raw\gtzan\jazz\jazz.00004.wav
pair_0043,gtzan_disco_disco_00027,gtzan_hiphop_hiphop_00054,data\raw\gtzan\disco\disco.00027.wav,data\raw\gtzan\hiphop\hiphop.00054.wav
pair_0044,gtzan_classical_classical_00044,gtzan_country_country_00076,data\raw\gtzan\classical\classical.00044.wav,data\raw\gtzan\country\country.00076.wav
pair_0045,gtzan_hiphop_hiphop_00037,gtzan_reggae_reggae_00088,data\raw\gtzan\hiphop\hiphop.00037.wav,data\raw\gtzan\reggae\reggae.00088.wav
pair_0046,gtzan_classical_classical_00044,gtzan_reggae_reggae_00039,data\raw\gtzan\classical\classical.00044.wav,data\raw\gtzan\reggae\reggae.00039.wav
pair_0047,gtzan_hiphop_hiphop_00037,gtzan_classical_classical_00046,data\raw\gtzan\hiphop\hiphop.00037.wav,data\raw\gtzan\classical\classical.00046.wav
pair_0048,gtzan_metal_metal_00070,gtzan_jazz_jazz_00021,data\raw\gtzan\metal\metal.00070.wav,data\raw\gtzan\jazz\jazz.00021.wav
pair_0049,gtzan_jazz_jazz_00003,gtzan_classical_classical_00031,data\raw\gtzan\jazz\jazz.00003.wav,data\raw\gtzan\classical\classical.00031.wav
pair_0050,gtzan_disco_disco_00027,gtzan_hiphop_hiphop_00052,data\raw\gtzan\disco\disco.00027.wav,data\raw\gtzan\hiphop\hiphop.00052.wav
pair_0051,gtzan_jazz_jazz_00003,gtzan_pop_pop_00076,data\raw\gtzan\jazz\jazz.00003.wav,data\raw\gtzan\pop\pop.00076.wav
pair_0052,gtzan_disco_disco_00027,gtzan_country_country_00072,data\raw\gtzan\disco\disco.00027.wav,data\raw\gtzan\country\country.00072.wav
pair_0053,gtzan_reggae_reggae_00018,gtzan_hiphop_hiphop_00084,data\raw\gtzan\reggae\reggae.00018.wav,data\raw\gtzan\hiphop\hiphop.00084.wav
pair_0054,gtzan_reggae_reggae_00018,gtzan_hiphop_hiphop_00068,data\raw\gtzan\reggae\reggae.00018.wav,data\raw\gtzan\hiphop\hiphop.00068.wav
pair_0055,gtzan_metal_metal_00070,gtzan_hiphop_hiphop_00021,data\raw\gtzan\metal\metal.00070.wav,data\raw\gtzan\hiphop\hiphop.00021.wav
pair_0056,gtzan_jazz_jazz_00003,gtzan_jazz_jazz_00009,data\raw\gtzan\jazz\jazz.00003.wav,data\raw\gtzan\jazz\jazz.00009.wav
pair_0057,gtzan_country_country_00060,gtzan_country_country_00056,data\raw\gtzan\country\country.00060.wav,data\raw\gtzan\country\country.00056.wav
pair_0058,gtzan_classical_classical_00044,gtzan_blues_blues_00019,data\raw\gtzan\classical\classical.00044.wav,data\raw\gtzan\blues\blues.00019.wav
pair_0059,gtzan_classical_classical_00044,gtzan_classical_classical_00012,data\raw\gtzan\classical\classical.00044.wav,data\raw\gtzan\classical\classical.00012.wav
pair_0060,gtzan_rock_rock_00032,gtzan_hiphop_hiphop_00046,data\raw\gtzan\rock\rock.00032.wav,data\raw\gtzan\hiphop\hiphop.00046.wav
